"geo_area","pop2021","visitor2021","ratio","visitorTOpop","region","fips","x","y","order","hole","piece","group","abbr","full","county"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",153249.85355715,-198720.23697025,42122,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",155947.81541385,-201827.85669025,42123,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",153523.2137736,-210876.75126624,42124,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",153461.74064077,-235133.04113498,42125,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",150635.40848297,-238337.29878942,42126,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",144120.68258651,-236258.62316118,42127,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",140170.09223727,-234801.99868188,42128,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",137848.06384414,-233572.33058038,42129,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",131403.96283626,-230153.18974709,42130,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",127468.23326586,-229026.49858853,42131,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",123782.57154291,-225280.52869048,42132,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",122115.0264136,-221416.98166045,42133,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",119894.18472144,-216921.86339443,42134,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",106371.96275569,-213014.68432082,42135,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",99521.1853288,-205408.10786295,42136,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",91760.63258735,-203730.99713116,42137,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",89362.38237613,-194323.4222535,42138,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",82504.19535285,-193074.21990622,42139,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",75298.15900756,-186294.91497955,42140,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",68413.77800731,-174559.10609967,42141,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",55681.7649882,-170117.22711421,42142,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",56626.3078045,-166580.658286,42143,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Clark",3855,58114,0.07,1508,"Glacial Lakes & Prairies","46025",158239.45795642,19017.8015467,42144,FALSE,1,"46025.1","SD","South Dakota","Clark County"
"Clark",3855,58114,0.07,1508,"Glacial Lakes & Prairies","46025",196457.28266227,19900.72824623,42145,FALSE,1,"46025.1","SD","South Dakota","Clark County"
"Clark",3855,58114,0.07,1508,"Glacial Lakes & Prairies","46025",197881.38109769,-18729.20408459,42146,FALSE,1,"46025.1","SD","South Dakota","Clark County"
"Clark",3855,58114,0.07,1508,"Glacial Lakes & Prairies","46025",198700.21650786,-47648.49033898,42147,FALSE,1,"46025.1","SD","South Dakota","Clark County"
"Clark",3855,58114,0.07,1508,"Glacial Lakes & Prairies","46025",170122.77011959,-48410.86087253,42148,FALSE,1,"46025.1","SD","South Dakota","Clark County"
"Clark",3855,58114,0.07,1508,"Glacial Lakes & Prairies","46025",169615.53574104,-38770.63167122,42149,FALSE,1,"46025.1","SD","South Dakota","Clark County"
"Clark",3855,58114,0.07,1508,"Glacial Lakes & Prairies","46025",159998.69596753,-38970.37574335,42150,FALSE,1,"46025.1","SD","South Dakota","Clark County"
