city,YEAR,total arrivals by city,pct_of_county,county,lat,lon
Davis,2019,1127,0.03,Turner,43.29115,-96.93874
Davis,2020,1291,0.04,Turner,43.29115,-96.93874
Davis,2021,778,0.02,Turner,43.29115,-96.93874
De Smet,2019,18580,0.24,Kingsbury,44.40778,-97.56762
De Smet,2020,14649,0.25,Kingsbury,44.40778,-97.56762
De Smet,2021,19913,0.27,Kingsbury,44.40778,-97.56762
Deadwood,2019,353169,0.36,Lawrence,44.32023,-103.70483
Deadwood,2020,281143,0.33,Lawrence,44.32023,-103.70483
Deadwood,2021,291331,0.31,Lawrence,44.32023,-103.70483
Dell Rapids,2019,31130,0.01,Minnehaha,43.84078,-96.72126
Dell Rapids,2020,21793,0.01,Minnehaha,43.84078,-96.72126
Dell Rapids,2021,33416,0.01,Minnehaha,43.84078,-96.72126
Delmont,2019,3020,0.12,Douglas,43.25182,-98.16035
Delmont,2020,3570,0.15,Douglas,43.25182,-98.16035
Delmont,2021,2969,0.11,Douglas,43.25182,-98.16035
Dimock,2019,2869,0.06,Hutchinson,43.47897,-98.0208
Dimock,2020,2153,0.06,Hutchinson,43.47897,-98.0208
Dimock,2021,1509,0.03,Hutchinson,43.47897,-98.0208
Doland,2019,5630,0.09,Spink,44.86354,-98.10416
Doland,2020,5795,0.10,Spink,44.86354,-98.10416
Doland,2021,6553,0.09,Spink,44.86354,-98.10416
Draper,2019,5337,0.06,Jones,43.96446,-100.51825
Draper,2020,6775,0.10,Jones,43.96446,-100.51825
Draper,2021,5257,0.07,Jones,43.96446,-100.51825
Dupree,2019,7086,1.36,Ziebach,45.06406,-101.6206
Dupree,2020,7256,1.33,Ziebach,45.06406,-101.6206
Dupree,2021,10280,1.22,Ziebach,45.06406,-101.6206
Eagle Butte,2019,24767,0.51,Dewey,44.99681,-101.21456
Eagle Butte,2020,14679,0.41,Dewey,44.99681,-101.21456
Eagle Butte,2021,23665,0.50,Dewey,44.99681,-101.21456
Eden,2019,7701,0.14,Marshall,45.61668,-97.37952
Eden,2020,7969,0.19,Marshall,45.61668,-97.37952
Eden,2021,10780,0.22,Marshall,45.61668,-97.37952
Edgemont,2019,24516,0.12,Fall River,43.2851,-103.83311
Edgemont,2020,26354,0.16,Fall River,43.2851,-103.83311
Edgemont,2021,33886,0.17,Fall River,43.2851,-103.83311
Egan,2019,2002,0.05,Moody,44.00083,-96.66277
Egan,2020,2153,0.06,Moody,44.00083,-96.66277
Egan,2021,561,0.01,Moody,44.00083,-96.66277
Elk Point,2019,22405,0.10,Union,42.6982,-96.67681
Elk Point,2020,19422,0.11,Union,42.6982,-96.67681
Elk Point,2021,17342,0.09,Union,42.6982,-96.67681
Elkton,2019,10738,0.02,Brookings,44.24483,-96.49858
Elkton,2020,8609,0.03,Brookings,44.24483,-96.49858
Elkton,2021,10227,0.03,Brookings,44.24483,-96.49858
Ellsworth Afb,2019,15432,0.03,Meade,44.14316,-103.07404
Ellsworth Afb,2020,4613,0.01,Meade,44.14316,-103.07404
Ellsworth Afb,2021,7188,0.01,Meade,44.14316,-103.07404
Emery,2019,8902,0.49,Hanson,43.60137,-97.62781
Emery,2020,7249,0.42,Hanson,43.60137,-97.62781
Emery,2021,8296,0.40,Hanson,43.60137,-97.62781
Erwin,2019,708,0.01,Kingsbury,44.517,-97.41278
Erwin,2020,345,0.01,Kingsbury,44.517,-97.41278
Erwin,2021,193,0.00,Kingsbury,44.517,-97.41278
Estelline,2019,28542,0.33,Hamlin,44.58915,-96.92665
Estelline,2020,21847,0.28,Hamlin,44.58915,-96.92665
Estelline,2021,20189,0.28,Hamlin,44.58915,-96.92665
Ethan,2019,2340,0.01,Davison,43.54037,-97.98252
Ethan,2020,4041,0.01,Davison,43.54037,-97.98252
Ethan,2021,3917,0.01,Davison,43.54037,-97.98252
Eureka,2019,25967,0.99,Mcpherson,45.80813,-99.6431
Eureka,2020,11238,0.80,Mcpherson,45.80813,-99.6431
Eureka,2021,12697,0.83,Mcpherson,45.80813,-99.6431
Fairburn,2019,769,0.00,Custer,43.67089,-103.19248
Fairburn,2020,369,0.00,Custer,43.67089,-103.19248
Fairburn,2021,455,0.00,Custer,43.67089,-103.19248
Fairfax,2019,7000,0.09,Gregory,43.04206,-98.84758
Fairfax,2020,6796,0.08,Gregory,43.04206,-98.84758
Fairfax,2021,10699,0.12,Gregory,43.04206,-98.84758
Fairview,2019,0,0.00,Lincoln,47.84925,-104.05313
Fairview,2020,0,0.00,Lincoln,47.84925,-104.05313
Fairview,2021,0,0.00,Lincoln,47.84925,-104.05313
Faith,2019,24801,0.05,Meade,45.02183,-102.13363
Faith,2020,27874,0.06,Meade,45.02183,-102.13363
Faith,2021,26284,0.05,Meade,45.02183,-102.13363
Faulkton,2019,23129,0.90,Faulk,45.03896,-99.12369
Faulkton,2020,21877,1.03,Faulk,45.03896,-99.12369
Faulkton,2021,17642,0.87,Faulk,45.03896,-99.12369
Fedora,2019,823,0.06,Miner,44.02954,-97.78748
Fedora,2020,1321,0.10,Miner,44.02954,-97.78748
Fedora,2021,1267,0.10,Miner,44.02954,-97.78748
Ferney,2019,264,0.00,Brown,45.32971,-98.10499
Ferney,2020,0,0.00,Brown,45.32971,-98.10499
Ferney,2021,195,0.00,Brown,45.32971,-98.10499
Flandreau,2019,32014,0.73,Moody,44.05795,-96.60304
Flandreau,2020,19628,0.54,Moody,44.05795,-96.60304
Flandreau,2021,29951,0.75,Moody,44.05795,-96.60304
Florence,2019,7754,0.02,Codington,45.06104,-97.28989
Florence,2020,4546,0.01,Codington,45.06104,-97.28989
Florence,2021,6754,0.02,Codington,45.06104,-97.28989
Fort Meade,2019,4093,0.01,Meade,44.40674,-103.46924
Fort Meade,2020,1276,0.00,Meade,44.40674,-103.46924
Fort Meade,2021,3201,0.01,Meade,44.40674,-103.46924
Fort Pierre,2019,121346,0.95,Stanley,44.37635,-100.41124
Fort Pierre,2020,116424,1.07,Stanley,44.37635,-100.41124
Fort Pierre,2021,130005,0.99,Stanley,44.37635,-100.41124
Fort Thompson,2019,15903,0.75,Buffalo,44.06583,-99.41874
Fort Thompson,2020,7809,0.58,Buffalo,44.06583,-99.41874
Fort Thompson,2021,12475,0.65,Buffalo,44.06583,-99.41874
Frankfort,2019,3751,0.06,Spink,44.8836,-98.2881
Frankfort,2020,4542,0.08,Spink,44.8836,-98.2881
Frankfort,2021,5342,0.08,Spink,44.8836,-98.2881
Frederick,2019,10896,0.01,Brown,45.82092,-98.4856
Frederick,2020,8575,0.01,Brown,45.82092,-98.4856
Frederick,2021,9232,0.01,Brown,45.82092,-98.4856
Freeman,2019,21567,0.44,Hutchinson,43.34001,-97.44884
Freeman,2020,12570,0.36,Hutchinson,43.34001,-97.44884
Freeman,2021,16859,0.35,Hutchinson,43.34001,-97.44884
Fulton,2019,2884,0.16,Hanson,43.73835,-97.83172
Fulton,2020,1807,0.10,Hanson,43.73835,-97.83172
Fulton,2021,1176,0.06,Hanson,43.73835,-97.83172
Gann Valley,2019,3477,0.16,Buffalo,44.14602,-99.04118
Gann Valley,2020,3797,0.28,Buffalo,44.14602,-99.04118
Gann Valley,2021,3267,0.17,Buffalo,44.14602,-99.04118
Garden City,2019,1481,0.03,Clark,37.98086,-100.85794
Garden City,2020,664,0.02,Clark,37.98086,-100.85794
Garden City,2021,1992,0.04,Clark,37.98086,-100.85794
Garretson,2019,22149,0.01,Minnehaha,43.72081,-96.52266
Garretson,2020,22058,0.01,Minnehaha,43.72081,-96.52266
Garretson,2021,22217,0.01,Minnehaha,43.72081,-96.52266
Gary,2019,24922,0.42,Deuel,44.75308,-96.4814
Gary,2020,22809,0.46,Deuel,44.75308,-96.4814
Gary,2021,21610,0.45,Deuel,44.75308,-96.4814
Gayville,2019,2727,0.01,Yankton,42.86941,-97.18044
Gayville,2020,3374,0.02,Yankton,42.86941,-97.18044
Gayville,2021,5028,0.02,Yankton,42.86941,-97.18044
Geddes,2019,22742,0.16,Charles Mix,43.24881,-98.69203
Geddes,2020,26132,0.17,Charles Mix,43.24881,-98.69203
Geddes,2021,25090,0.15,Charles Mix,43.24881,-98.69203
Gettysburg,2019,49461,1.03,Potter,45.02914,-100.00351
Gettysburg,2020,47515,1.17,Potter,45.02914,-100.00351
Gettysburg,2021,45645,1.09,Potter,45.02914,-100.00351
Glencross,2019,394,0.01,Dewey,45.46143,-100.92041
Glencross,2020,498,0.01,Dewey,45.46143,-100.92041
Glencross,2021,200,0.00,Dewey,45.46143,-100.92041
Glenham,2019,22863,0.24,Walworth,45.56133,-100.31742
Glenham,2020,25223,0.32,Walworth,45.56133,-100.31742
Glenham,2021,23808,0.28,Walworth,45.56133,-100.31742
Goodwin,2019,6543,0.11,Deuel,44.86042,-96.84902
Goodwin,2020,4504,0.09,Deuel,44.86042,-96.84902
Goodwin,2021,3584,0.08,Deuel,44.86042,-96.84902
Gregory,2019,40688,0.50,Gregory,43.24258,-99.42818
Gregory,2020,31103,0.38,Gregory,43.24258,-99.42818
Gregory,2021,41302,0.45,Gregory,43.24258,-99.42818
Grenville,2019,28950,0.25,Day,45.50044,-97.29943
Grenville,2020,25119,0.27,Day,45.50044,-97.29943
Grenville,2021,20404,0.19,Day,45.50044,-97.29943
Groton,2019,19917,0.02,Brown,45.47186,-98.11091
Groton,2020,18307,0.02,Brown,45.47186,-98.11091
Groton,2021,23889,0.03,Brown,45.47186,-98.11091
Hamill,2019,3483,0.04,Tripp,43.58628,-99.69572
Hamill,2020,5271,0.07,Tripp,43.58628,-99.69572
Hamill,2021,3814,0.05,Tripp,43.58628,-99.69572
Harrisburg,2019,53405,0.10,Lincoln,43.43631,-96.69373
Harrisburg,2020,45022,0.12,Lincoln,43.43631,-96.69373
Harrisburg,2021,52696,0.11,Lincoln,43.43631,-96.69373
Harrison,2019,693,0.03,Douglas,43.43675,-98.58274
Harrison,2020,1226,0.05,Douglas,43.43675,-98.58274
Harrison,2021,1960,0.07,Douglas,43.43675,-98.58274
Harrold,2019,9762,0.03,Hughes,44.49955,-99.73383
Harrold,2020,12264,0.05,Hughes,44.49955,-99.73383
Harrold,2021,15158,0.05,Hughes,44.49955,-99.73383
Hartford,2019,52394,0.02,Minnehaha,43.6119,-96.94067
Hartford,2020,31660,0.02,Minnehaha,43.6119,-96.94067
Hartford,2021,34064,0.01,Minnehaha,43.6119,-96.94067
Hayes,2019,647,0.01,Stanley,44.50795,-101.04775
Hayes,2020,1204,0.01,Stanley,44.50795,-101.04775
Hayes,2021,1515,0.01,Stanley,44.50795,-101.04775
Hayti,2019,11277,0.13,Hamlin,44.67402,-97.1967
Hayti,2020,7120,0.09,Hamlin,44.67402,-97.1967
Hayti,2021,6306,0.09,Hamlin,44.67402,-97.1967
Hazel,2019,3902,0.05,Hamlin,44.76691,-97.35797
Hazel,2020,3305,0.04,Hamlin,44.76691,-97.35797
Hazel,2021,2004,0.03,Hamlin,44.76691,-97.35797
Hecla,2019,4958,0.01,Brown,45.88145,-98.13025
Hecla,2020,7480,0.01,Brown,45.88145,-98.13025
Hecla,2021,6919,0.01,Brown,45.88145,-98.13025
Henry,2019,3441,0.01,Codington,44.89158,-97.43311
Henry,2020,4997,0.01,Codington,44.89158,-97.43311
Henry,2021,4868,0.01,Codington,44.89158,-97.43311
Hermosa,2019,21347,0.03,Custer,43.83905,-103.18445
Hermosa,2020,23618,0.04,Custer,43.83905,-103.18445
Hermosa,2021,24875,0.04,Custer,43.83905,-103.18445
Herreid,2019,11354,0.43,Campbell,45.84139,-100.07648
Herreid,2020,11015,0.55,Campbell,45.84139,-100.07648
Herreid,2021,14148,0.59,Campbell,45.84139,-100.07648
Herrick,2019,1611,0.02,Gregory,43.13461,-99.20439
Herrick,2020,2478,0.03,Gregory,43.13461,-99.20439
Herrick,2021,1863,0.02,Gregory,43.13461,-99.20439
Highmore,2019,26340,1.05,Hyde,44.52308,-99.43817
Highmore,2020,20282,1.04,Hyde,44.52308,-99.43817
Highmore,2021,24943,1.20,Hyde,44.52308,-99.43817
Hill City,2019,141711,0.06,Pennington,43.94134,-103.58365
Hill City,2020,145553,0.07,Pennington,43.94134,-103.58365
Hill City,2021,127126,0.05,Pennington,43.94134,-103.58365
Hitchcock,2019,5136,0.03,Beadle,44.62245,-98.37034
Hitchcock,2020,4062,0.03,Beadle,44.62245,-98.37034
Hitchcock,2021,3932,0.02,Beadle,44.62245,-98.37034
Holabird,2019,739,0.03,Hyde,44.53699,-99.62935
Holabird,2020,1203,0.06,Hyde,44.53699,-99.62935
Holabird,2021,542,0.03,Hyde,44.53699,-99.62935
Hosmer,2019,4256,0.09,Edmunds,45.60918,-99.42522
Hosmer,2020,1508,0.04,Edmunds,45.60918,-99.42522
Hosmer,2021,1739,0.04,Edmunds,45.60918,-99.42522
Hot Springs,2019,91142,0.44,Fall River,43.41255,-103.4735
Hot Springs,2020,83350,0.51,Fall River,43.41255,-103.4735
Hot Springs,2021,77096,0.40,Fall River,43.41255,-103.4735
Houghton,2019,218,0.00,Brown,45.73147,-98.20019
Houghton,2020,597,0.00,Brown,45.73147,-98.20019
Houghton,2021,317,0.00,Brown,45.73147,-98.20019
Hoven,2019,7827,0.16,Potter,45.2422,-99.7873
Hoven,2020,6164,0.15,Potter,45.2422,-99.7873
Hoven,2021,7892,0.19,Potter,45.2422,-99.7873
Howard,2019,15275,1.04,Miner,44.04342,-97.53657
Howard,2020,12543,0.92,Miner,44.04342,-97.53657
Howard,2021,9590,0.76,Miner,44.04342,-97.53657
Howes,2019,2398,0.01,Meade,44.6095,-101.95172
