city,YEAR,total arrivals by city,pct_of_county,county,arrival_unexposed_PCT,arrival_exposed_PCT,lat,lon
Canova,2019,488,0.033202912798,Miner,0.9000000000000,0.1000000000000,43.86939,-97.55449
Canova,2020,2400,0.175532937032,Miner,0.8058252427184,0.1941747572816,43.86939,-97.55449
Canova,2021,2412,0.191052495835,Miner,0.8095238095238,0.1904761904762,43.86939,-97.55449
Canton,2019,28818,0.053036310515,Lincoln,0.9137055837563,0.0862944162437,43.29664,-96.59546
Canton,2020,22473,0.061317026839,Lincoln,0.8721030042918,0.1278969957082,43.29664,-96.59546
Canton,2021,15736,0.031462651837,Lincoln,0.8471337579618,0.1528662420382,43.29664,-96.59546
Caputa,2019,947,0.000384064646,Pennington,0.9090909090909,0.0909090909091,43.99475,-102.92358
Caputa,2020,1119,0.000519587956,Pennington,0.8809523809524,0.1190476190476,43.99475,-102.92358
Caputa,2021,416,0.000174762880,Pennington,0.8421052631579,0.1578947368421,43.99475,-102.92358
Carpenter,2019,1797,0.040849946144,Clark,0.9629629629630,0.0370370370370,44.57733,-97.95436
Carpenter,2020,1390,0.037613334279,Clark,0.8936170212766,0.1063829787234,44.57733,-97.95436
Carpenter,2021,1491,0.028988452456,Clark,0.8750000000000,0.1250000000000,44.57733,-97.95436
Carthage,2019,913,0.062130772446,Miner,0.9210526315789,0.0789473684211,44.1803,-97.71633
Carthage,2020,1660,0.121427714296,Miner,0.8421052631579,0.1578947368421,44.1803,-97.71633
Carthage,2021,1521,0.120510035834,Miner,0.6600000000000,0.3400000000000,44.1803,-97.71633
Castlewood,2019,15713,0.181323495580,Hamlin,0.9031339031339,0.0968660968661,44.7194,-97.03604
Castlewood,2020,15582,0.200313216646,Hamlin,0.9135135135135,0.0864864864865,44.7194,-97.03604
Castlewood,2021,15730,0.217849069886,Hamlin,0.8676748582231,0.1323251417769,44.7194,-97.03604
Cavour,2019,1010,0.004969117895,Beadle,0.8627450980392,0.1372549019608,44.33033,-98.04498
Cavour,2020,2353,0.015060596834,Beadle,0.8875000000000,0.1125000000000,44.33033,-98.04498
Cavour,2021,1503,0.007850753435,Beadle,0.7592592592593,0.2407407407407,44.33033,-98.04498
Centerville,2019,2978,0.074470015591,Turner,0.9082568807339,0.0917431192661,43.09749,-96.95614
Centerville,2020,7178,0.231759635848,Turner,0.8847457627119,0.1152542372881,43.09749,-96.95614
Centerville,2021,7600,0.195306140394,Turner,0.8614232209738,0.1385767790262,43.09749,-96.95614
Chamberlain,2019,92442,0.556134887799,Brule,0.8958847736626,0.1041152263374,43.78567,-99.32009
Chamberlain,2020,88921,0.590246347387,Brule,0.8764066374213,0.1235933625787,43.78567,-99.32009
Chamberlain,2021,89898,0.529401718972,Brule,0.8102269619907,0.1897730380093,43.78567,-99.32009
Chancellor,2019,4991,0.124797501515,Turner,0.9100000000000,0.0900000000000,43.41727,-96.97601
Chancellor,2020,3830,0.123666706613,Turner,0.9467455621302,0.0532544378698,43.41727,-96.97601
Chancellor,2021,3548,0.091165568934,Turner,0.9217877094972,0.0782122905028,43.41727,-96.97601
Cherry Creek,2019,697,0.134095868554,Ziebach,0.9090909090909,0.0909090909091,44.63786,-101.52699
Cherry Creek,2020,320,0.058760323768,Ziebach,0.9473684210526,0.0526315789474,44.63786,-101.52699
Cherry Creek,2021,702,0.083053511811,Ziebach,1.0000000000000,0.0000000000000,44.63786,-101.52699
Chester,2019,3617,0.044472245886,Lake,0.9074074074074,0.0925925925926,43.90551,-96.94779
Chester,2020,4504,0.069917468594,Lake,0.8878504672897,0.1121495327103,43.90551,-96.94779
Chester,2021,5302,0.069579238844,Lake,0.8562874251497,0.1437125748503,43.90551,-96.94779
Claire City,2019,1141,0.007610306158,Roberts,0.9074074074074,0.0925925925926,45.86114,-97.09999
Claire City,2020,651,0.005072550301,Roberts,0.8987341772152,0.1012658227848,45.86114,-97.09999
Claire City,2021,2002,0.012911626655,Roberts,0.8965517241379,0.1034482758621,45.86114,-97.09999
Claremont,2019,3942,0.008705007129,Brown,0.9193548387097,0.0806451612903,45.68049,-98.00242
Claremont,2020,1664,0.004999180262,Brown,0.8936170212766,0.1063829787234,45.68049,-98.00242
Claremont,2021,2317,0.005204777713,Brown,0.9230769230769,0.0769230769231,45.68049,-98.00242
Clark,2019,22801,0.518289643037,Clark,0.9280303030303,0.0719696969697,44.89137,-97.73356
Clark,2020,21967,0.594459572169,Clark,0.8874113475177,0.1125886524823,44.89137,-97.73356
Clark,2021,27986,0.544132578234,Clark,0.8742442563482,0.1257557436518,44.89137,-97.73356
Clear Lake,2019,28948,0.492173258851,Deuel,0.8965517241379,0.1034482758621,44.75654,-96.71677
Clear Lake,2020,20342,0.407236591574,Deuel,0.8863936591810,0.1136063408190,44.75654,-96.71677
Clear Lake,2021,26404,0.553237375071,Deuel,0.8371868978805,0.1628131021195,44.75654,-96.71677
Colman,2019,8091,0.183426542272,Moody,0.9230769230769,0.0769230769231,43.97362,-96.81997
Colman,2020,9478,0.259426076334,Moody,0.9070512820513,0.0929487179487,43.97362,-96.81997
Colman,2021,8540,0.214475117698,Moody,0.8250000000000,0.1750000000000,43.97362,-96.81997
Colome,2019,5377,0.067913164734,Tripp,0.9305019305019,0.0694980694981,43.22956,-99.74404
Colome,2020,12639,0.173822875652,Tripp,0.8887303851641,0.1112696148359,43.22956,-99.74404
Colome,2021,9416,0.130731861742,Tripp,0.8302325581395,0.1697674418605,43.22956,-99.74404
Colton,2019,4786,0.001700682383,Minnehaha,0.9346405228758,0.0653594771242,43.79246,-96.9416
Colton,2020,9056,0.004728189422,Minnehaha,0.9253012048193,0.0746987951807,43.79246,-96.9416
Colton,2021,4758,0.001903198540,Minnehaha,0.8578199052133,0.1421800947867,43.79246,-96.9416
Columbia,2019,3971,0.008769762761,Brown,0.9047619047619,0.0952380952381,45.61189,-98.31264
Columbia,2020,2050,0.006159146307,Brown,0.8773584905660,0.1226415094340,45.61189,-98.31264
Columbia,2021,2165,0.004865335689,Brown,0.8823529411765,0.1176470588235,45.61189,-98.31264
Conde,2019,3910,0.060707631458,Spink,0.9145299145299,0.0854700854701,45.17272,-98.11625
Conde,2020,3925,0.071013305673,Spink,0.8700000000000,0.1300000000000,45.17272,-98.11625
Conde,2021,4103,0.058798039163,Spink,0.8938053097345,0.1061946902655,45.17272,-98.11625
Corona,2019,18616,0.124110827772,Roberts,0.8611111111111,0.1388888888889,45.36599,-96.70427
Corona,2020,13162,0.102493865657,Roberts,0.8336653386454,0.1663346613546,45.36599,-96.70427
Corona,2021,18882,0.121750401445,Roberts,0.7918424753868,0.2081575246132,45.36599,-96.70427
Corsica,2019,20729,0.792656722458,Douglas,0.9457364341085,0.0542635658915,43.44,-98.42779
Corsica,2020,17763,0.742274705375,Douglas,0.8952270081490,0.1047729918510,43.44,-98.42779
Corsica,2021,16274,0.598461958953,Douglas,0.8630363036304,0.1369636963696,43.44,-98.42779
Cresbard,2019,1621,0.063104113167,Faulk,0.8596491228070,0.1403508771930,45.17268,-98.93258
Cresbard,2020,1500,0.070922505368,Faulk,0.8192771084337,0.1807228915663,45.17268,-98.93258
Cresbard,2021,1638,0.080596096582,Faulk,0.7692307692308,0.2307692307692,45.17268,-98.93258
Crooks,2019,1338,0.000475595642,Minnehaha,0.8775510204082,0.1224489795918,43.66082,-96.81764
Crooks,2020,2058,0.001074619362,Minnehaha,0.8571428571429,0.1428571428571,43.66082,-96.81764
Crooks,2021,1634,0.000653661226,Minnehaha,0.8214285714286,0.1785714285714,43.66082,-96.81764
Custer,2019,206911,0.328617831829,Custer,0.8742921857305,0.1257078142695,43.74773,-103.59894
Custer,2020,199161,0.326434347069,Custer,0.8014338112704,0.1985661887296,43.74773,-103.59894
Custer,2021,177603,0.300387479358,Custer,0.7172576213529,0.2827423786471,43.74773,-103.59894
Dallas,2019,8219,0.100960269532,Gregory,0.8994413407821,0.1005586592179,32.84277,-96.79333
Dallas,2020,8312,0.101700420657,Gregory,0.8623595505618,0.1376404494382,32.84277,-96.79333
Dallas,2021,7687,0.083145859499,Gregory,0.8550724637681,0.1449275362319,32.84277,-96.79333
Dante,2019,1104,0.007575245076,Charles Mix,0.9183673469388,0.0816326530612,43.02365,-98.17439
Dante,2020,2099,0.013516568614,Charles Mix,0.9100000000000,0.0900000000000,43.02365,-98.17439
Dante,2021,2213,0.013099780521,Charles Mix,0.9253731343284,0.0746268656716,43.02365,-98.17439
Davis,2019,1127,0.028175012931,Turner,1.0000000000000,0.0000000000000,43.29115,-96.93874
